ID,Tempat Wisata,Tahun,Wisnus,Wisman
535,taman soekasada ujung ,2024,52266,91514
536,Pulaki,2020,5091,10975
537,Pulaki,2021,9211,0
538,Pulaki,2022,46272,1932
539,Pulaki,2023,45523,5292
540,Pulaki,2024,96684,6260
541,"Lovina, Kalibukbuk",2020,3696,5579
542,"Lovina, Kalibukbuk",2021,0,0
543,"Lovina, Kalibukbuk",2022,0,0
544,"Lovina, Kalibukbuk",2023,0,0
545,"Lovina, Kalibukbuk",2024,0,0
546,Air Panas Banjar,2020,10671,7981
547,Air Panas Banjar,2021,6159,0
548,Air Panas Banjar,2022,18597,7426
549,Air Panas Banjar,2023,45360,18316
550,Air Panas Banjar,2024,41023,49728
551,Air Sanih,2020,12693,275
552,Air Sanih,2021,0,0
553,Air Sanih,2022,18313,7296
554,Air Sanih,2023,58224,805
555,Air Sanih,2024,73701,857
556,Air Terjun Gitgit,2020,1195,1170
557,Air Terjun Gitgit,2021,21,17
558,Air Terjun Gitgit,2022,264,639
559,Air Terjun Gitgit,2023,135,3789
560,Air Terjun Gitgit,2024,1056,3491
561,Makam Jaya Prana,2020,2769,7914
562,Makam Jaya Prana,2021,0,0
563,Makam Jaya Prana,2022,22253,126
564,Makam Jaya Prana,2023,0,0
565,Makam Jaya Prana,2024,0,0
566,Air Panas Banyuwedang,2020,1130,1138
567,Air Panas Banyuwedang,2021,1496,66
568,Air Panas Banyuwedang,2022,9815,538
569,Air Panas Banyuwedang,2023,8431,2648
570,Air Panas Banyuwedang,2024,25104,1913
571,Taman Nasional Bali Barat,2020,0,0
572,Taman Nasional Bali Barat,2021,4033,137
573,Taman Nasional Bali Barat,2022,2609,206
574,Taman Nasional Bali Barat,2023,17755,19252
575,Taman Nasional Bali Barat,2024,25204,18976
576,Pura Madue Karang,2020,0,1022
577,Pura Madue Karang,2021,245,0
578,Pura Madue Karang,2022,206,1780
579,Pura Madue Karang,2023,1126,3828
580,Pura Madue Karang,2024,1153,4876
581,Pura Beji,2020,0,764
582,Pura Beji,2021,150,0
583,Pura Beji,2022,3639,3836
584,Pura Beji,2023,9461,12057
585,Pura Beji,2024,6448,17848
586,Pura Dalem Jagaraga,2020,0,0
587,Pura Dalem Jagaraga,2021,185,0
588,Pura Dalem Jagaraga,2022,0,0
589,Pura Dalem Jagaraga,2023,0,0
590,Pura Dalem Jagaraga,2024,0,0
591,Danau Buyan,2020,17900,1395
592,Danau Buyan,2021,6221,0
593,Danau Buyan,2022,8823,0
594,Danau Buyan,2023,16049,30
595,Danau Buyan,2024,78353,0
596,Pelabuhan Buleleng,2020,536,45
597,Pelabuhan Buleleng,2021,10709,0
598,Pelabuhan Buleleng,2022,53235,625
599,Pelabuhan Buleleng,2023,91345,8741
600,Pelabuhan Buleleng,2024,127643,5041
601,Gedong Kertya,2020,442,190
602,Gedong Kertya,2021,0,0
603,Gedong Kertya,2022,0,0
604,Gedong Kertya,2023,0,0
605,Gedong Kertya,2024,0,0
606,Air Terjun Les,2020,587,347
607,Air Terjun Les,2021,0,0
608,Air Terjun Les,2022,637,1294
609,Air Terjun Les,2023,1401,3686
610,Air Terjun Les,2024,0,0
611,Museum Buleleng,2020,371,209
612,Museum Buleleng,2021,34,0
613,Museum Buleleng,2022,883,76
614,Museum Buleleng,2023,705,293
615,Museum Buleleng,2024,746,147
616,D. Tamblingan,2020,2629,2050
617,D. Tamblingan,2021,77,0
618,D. Tamblingan,2022,2828,1122
619,D. Tamblingan,2023,12785,5227
620,D. Tamblingan,2024,15943,9234
621,P. Menjangan,2020,0,0
622,P. Menjangan,2021,216,14
623,P. Menjangan,2022,0,0
624,P. Menjangan,2023,1671,4331
625,P. Menjangan,2024,764,5240
626,Kapal Seabourn Odyssey,2020,0,0
627,Kapal Seabourn Odyssey,2021,0,0
628,Kapal Seabourn Odyssey,2022,0,0
629,Kapal Seabourn Odyssey,2023,2,247
630,Kapal Seabourn Odyssey,2024,0,0
631,Air Terjun Sekumpul,2020,5281,3951
632,Air Terjun Sekumpul,2021,79,189
633,Air Terjun Sekumpul,2022,600,2264
634,Air Terjun Sekumpul,2023,6672,10459
635,Air Terjun Sekumpul,2024,3384,19292
636,Air Terjun Campuhan,2020,691,755
637,Air Terjun Campuhan,2021,0,0
638,Air Terjun Campuhan,2022,0,0
639,Air Terjun Campuhan,2023,0,0
640,Air Terjun Campuhan,2024,0,0
641,Air Terjun Bertingkat,2020,180,103
642,Air Terjun Bertingkat,2021,0,0
643,Air Terjun Bertingkat,2022,0,0
644,Air Terjun Bertingkat,2023,0,0
645,Air Terjun Bertingkat,2024,0,0
646,Genting Dream,2020,0,0
647,Genting Dream,2021,0,0
648,Genting Dream,2022,0,4091
649,Genting Dream,2023,0,0
650,Genting Dream,2024,0,0
651,Pura Jaya Prana ,2020,0,0
652,Pura Jaya Prana ,2021,3209,0
653,Pura Jaya Prana ,2022,0,0
654,Pura Jaya Prana ,2023,32341,196
655,Pura Jaya Prana ,2024,51670,96
656,Tugu Singa Ambara Raja ,2020,0,0
657,Tugu Singa Ambara Raja ,2021,1705,0
658,Tugu Singa Ambara Raja ,2022,3323,0
659,Tugu Singa Ambara Raja ,2023,12487,0
660,Tugu Singa Ambara Raja ,2024,6331,0
661,Brahma Vihara Arama ,2020,0,0
662,Brahma Vihara Arama ,2021,2106,78
663,Brahma Vihara Arama ,2022,4276,23154
664,Brahma Vihara Arama ,2023,6941,56451
665,Brahma Vihara Arama ,2024,10697,70805
666,Air Terjun Melanting ,2020,0,0
667,Air Terjun Melanting ,2021,0,0
668,Air Terjun Melanting ,2022,4616,6776
669,Air Terjun Melanting ,2023,1508,25386
670,Air Terjun Melanting ,2024,1317,29128
671,Air Terjun Aling-Aling dan Kawasan Sambangan,2020,0,0
672,Air Terjun Aling-Aling dan Kawasan Sambangan,2021,347,446
673,Air Terjun Aling-Aling dan Kawasan Sambangan,2022,255,351
674,Air Terjun Aling-Aling dan Kawasan Sambangan,2023,3572,67951
675,Air Terjun Aling-Aling dan Kawasan Sambangan,2024,2862,57101
676,Gedong Kirtya,2020,0,0
677,Gedong Kirtya,2021,53,3
678,Gedong Kirtya,2022,3079,132
679,Gedong Kirtya,2023,5521,1053
680,Gedong Kirtya,2024,1436,1425
681,Pantai Lovina,2020,0,0
682,Pantai Lovina,2021,870,0
683,Pantai Lovina,2022,16259,10723
684,Pantai Lovina,2023,64576,61404
685,Pantai Lovina,2024,71421,127873
686,Pantai Penimbangan,2020,0,0
687,Pantai Penimbangan,2021,7116,0
688,Pantai Penimbangan,2022,40033,0
689,Pantai Penimbangan,2023,86197,8781
690,Pantai Penimbangan,2024,78753,251
691,Pura Dalem Sangsit,2020,0,0
692,Pura Dalem Sangsit,2021,215,0
693,Pura Dalem Sangsit,2022,0,0
694,Pura Dalem Sangsit,2023,0,0
695,Pura Dalem Sangsit,2024,0,0
696,Pura Pucak Sinunggal,2020,0,0
697,Pura Pucak Sinunggal,2021,100,0
698,Pura Pucak Sinunggal,2022,0,0
699,Pura Pucak Sinunggal,2023,0,0
700,Pura Pucak Sinunggal,2024,0,0
701,Pura Ponjok Batu ,2020,0,0
702,Pura Ponjok Batu ,2021,4725,0
703,Pura Ponjok Batu ,2022,1893,0
704,Pura Ponjok Batu ,2023,30358,0
705,Pura Ponjok Batu ,2024,65895,0
706,Air Terjun Banyumala,2020,0,0
707,Air Terjun Banyumala,2021,740,200
708,Air Terjun Banyumala,2022,3833,17821
709,Air Terjun Banyumala,2023,29757,59971
710,Air Terjun Banyumala,2024,5115,71313
711,Pura Batu Kursi ,2020,0,0
712,Pura Batu Kursi ,2021,2452,53
713,Pura Batu Kursi ,2022,0,0
714,Pura Batu Kursi ,2023,770,1606
715,Pura Batu Kursi ,2024,651,1511
716,Air Terjun Banyu Wana Amerta,2020,0,0
717,Air Terjun Banyu Wana Amerta,2021,0,0
718,Air Terjun Banyu Wana Amerta,2022,871,3838
719,Air Terjun Banyu Wana Amerta,2023,11945,32088
720,Air Terjun Banyu Wana Amerta,2024,6654,55664
721,Regata Yacht,2020,0,0
722,Regata Yacht,2021,0,0
723,Regata Yacht,2022,0,342
724,Regata Yacht,2023,0,0
725,Regata Yacht,2024,0,0
726,Khrisna Adventure,2020,0,0
727,Khrisna Adventure,2021,0,0
728,Khrisna Adventure,2022,1375,60
729,Khrisna Adventure,2023,7910,1726
730,Khrisna Adventure,2024,4474,811
731,Air Terjun Pucak Manik,2020,0,0
732,Air Terjun Pucak Manik,2021,0,0
733,Air Terjun Pucak Manik,2022,0,105717
734,Air Terjun Pucak Manik,2023,1652,7099
735,Air Terjun Pucak Manik,2024,3146,8652
736,Taman Laut Desa Les,2020,0,0
737,Taman Laut Desa Les,2021,0,0
738,Taman Laut Desa Les,2022,6,88
739,Taman Laut Desa Les,2023,0,0
740,Taman Laut Desa Les,2024,103,579
741,Khrisna Funtastic Land,2020,0,0
742,Khrisna Funtastic Land,2021,0,0
743,Khrisna Funtastic Land,2022,24785,356
744,Khrisna Funtastic Land,2023,114920,1139
745,Khrisna Funtastic Land,2024,95315,798
746,Air Terjun Jembong ,2020,0,0
747,Air Terjun Jembong ,2021,0,0
748,Air Terjun Jembong ,2022,6598,205
749,Air Terjun Jembong ,2023,18765,501
750,Air Terjun Jembong ,2024,12582,1735
751,Pantai Kerobokan ,2020,0,0
752,Pantai Kerobokan ,2021,0,0
753,Pantai Kerobokan ,2022,30570,0
754,Pantai Kerobokan ,2023,53366,0
755,Pantai Kerobokan ,2024,87983,0
756,Puri Buleleng,2020,0,0
757,Puri Buleleng,2021,0,0
758,Puri Buleleng,2022,0,0
759,Puri Buleleng,2023,0,14
760,Puri Buleleng,2024,0,0
761,Puri Kanginan,2020,0,0
762,Puri Kanginan,2021,0,0
763,Puri Kanginan,2022,0,0
764,Puri Kanginan,2023,54,110
765,Puri Kanginan,2024,0,0
766,Khrisna Water Sport,2020,0,0
767,Khrisna Water Sport,2021,0,0
768,Khrisna Water Sport,2022,0,0
769,Khrisna Water Sport,2023,4697,1406
770,Khrisna Water Sport,2024,6096,3547
771,Cruise Ship MV. Seven Seas Explore,2020,0,0
772,Cruise Ship MV. Seven Seas Explore,2021,0,0
773,Cruise Ship MV. Seven Seas Explore,2022,0,0
774,Cruise Ship MV. Seven Seas Explore,2023,121,1647
775,Cruise Ship MV. Seven Seas Explore,2024,0,0
776,Cruise Ship Star Breeze,2020,0,0
777,Cruise Ship Star Breeze,2021,0,0
778,Cruise Ship Star Breeze,2022,0,0
779,Cruise Ship Star Breeze,2023,0,121
780,Cruise Ship Star Breeze,2024,0,0
781,Cruise Ship MV. Seven Seas Marine,2020,0,0
782,Cruise Ship MV. Seven Seas Marine,2021,0,0
783,Cruise Ship MV. Seven Seas Marine,2022,0,0
784,Cruise Ship MV. Seven Seas Marine,2023,0,500
785,Cruise Ship MV. Seven Seas Marine,2024,0,0
786,Cruise Ship MV. Westerdam,2020,0,0
787,Cruise Ship MV. Westerdam,2021,0,0
788,Cruise Ship MV. Westerdam,2022,0,0
789,Cruise Ship MV. Westerdam,2023,0,1881
790,Cruise Ship MV. Westerdam,2024,0,0
791,Taman laut Pemuteran ,2020,0,0
792,Taman laut Pemuteran ,2021,0,0
793,Taman laut Pemuteran ,2022,0,0
794,Taman laut Pemuteran ,2023,0,0
795,Taman laut Pemuteran ,2024,234,3623
796,Air Terjun Yeh Mempeh Desa Les,2020,0,0
797,Air Terjun Yeh Mempeh Desa Les,2021,0,0
798,Air Terjun Yeh Mempeh Desa Les,2022,0,0
799,Air Terjun Yeh Mempeh Desa Les,2023,0,0
800,Air Terjun Yeh Mempeh Desa Les,2024,1127,4434
801,Pengrajin Pande Besi,2020,0,0
802,Pengrajin Pande Besi,2021,0,0
803,Pengrajin Pande Besi,2022,0,0
804,Pengrajin Pande Besi,2023,0,0
805,Pengrajin Pande Besi,2024,12,2
806,Pengerajin Pande Gong,2020,0,0
807,Pengerajin Pande Gong,2021,0,0
808,Pengerajin Pande Gong,2022,0,0
809,Pengerajin Pande Gong,2023,0,0
810,Pengerajin Pande Gong,2024,8,106
811,Agrowisata lalangan,2020,0,0
812,Agrowisata lalangan,2021,0,0
813,Agrowisata lalangan,2022,0,0
814,Agrowisata lalangan,2023,0,0
815,Agrowisata lalangan,2024,2987,132
816,Penglukatan Pura Batu Bolong,2020,0,0
817,Penglukatan Pura Batu Bolong,2021,0,0
818,Penglukatan Pura Batu Bolong,2022,0,0
819,Penglukatan Pura Batu Bolong,2023,0,0
820,Penglukatan Pura Batu Bolong,2024,0,29
821,Cruise Ship Celebrity Millenium,2020,0,0
822,Cruise Ship Celebrity Millenium,2021,0,0
823,Cruise Ship Celebrity Millenium,2022,0,0
824,Cruise Ship Celebrity Millenium,2023,0,0
825,Cruise Ship Celebrity Millenium,2024,400,9397
826,Oceania Cruise Insignia,2020,0,0
827,Oceania Cruise Insignia,2021,0,0
828,Oceania Cruise Insignia,2022,0,0
829,Oceania Cruise Insignia,2023,0,0
830,Oceania Cruise Insignia,2024,91,308
831,Bunut Bolong,2020,2984,709
832,Bunut Bolong,2021,4879,574
833,Bunut Bolong,2022,3528,682
834,Bunut Bolong,2023,2238,586
835,Bunut Bolong,2024,6392,991
836,Pantai Medewi,2020,559,205
837,Pantai Medewi,2021,125,58
838,Pantai Medewi,2022,580,2703
839,Pantai Medewi,2023,1180,6387
840,Pantai Medewi,2024,2282,3173
841,Rambut Siwi,2020,1044,103
842,Rambut Siwi,2021,11,19
843,Rambut Siwi,2022,35,1752
844,Rambut Siwi,2023,15,4258
845,Rambut Siwi,2024,798,5083
846,Pantai Delod Berawah,2020,1148,0
847,Pantai Delod Berawah,2021,8826,6
848,Pantai Delod Berawah,2022,12491,0
849,Pantai Delod Berawah,2023,18363,0
850,Pantai Delod Berawah,2024,19827,45
851,Pantai Baluk Rening,2020,11868,0
852,Pantai Baluk Rening,2021,23165,0
853,Pantai Baluk Rening,2022,39152,0
854,Pantai Baluk Rening,2023,41659,0
855,Pantai Baluk Rening,2024,40246,0
856,Bendungan Palasari,2020,1644,0
857,Bendungan Palasari,2021,1673,1
858,Bendungan Palasari,2022,3315,12
859,Bendungan Palasari,2023,2057,0
860,Bendungan Palasari,2024,14372,0
861,Teluk Gilimanuk,2020,6552,88
862,Teluk Gilimanuk,2021,33355,21
863,Teluk Gilimanuk,2022,12756,78
864,Teluk Gilimanuk,2023,16840,452
865,Teluk Gilimanuk,2024,12311,458
866,Museum Gilimanuk/Manusia Purba Situs,2020,97,0
867,Museum Gilimanuk/Manusia Purba Situs,2021,262,3
868,Museum Gilimanuk/Manusia Purba Situs,2022,1845,13
869,Museum Gilimanuk/Manusia Purba Situs,2023,1866,37
870,Museum Gilimanuk/Manusia Purba Situs,2024,1176,134
871,Desa Wisata Perancak,2020,3606,126
872,Desa Wisata Perancak,2021,10880,160
873,Desa Wisata Perancak,2022,20836,1250
874,Desa Wisata Perancak,2023,22331,6066
875,Desa Wisata Perancak,2024,12258,950
876,P. Candi Kusuma,2020,3271,54
877,P. Candi Kusuma,2021,6205,0
878,P. Candi Kusuma,2022,0,0
879,P. Candi Kusuma,2023,0,0
880,P. Candi Kusuma,2024,11730,0
881,Desa Wisata Gumbrih,2020,1463,32
882,Desa Wisata Gumbrih,2021,927,0
883,Desa Wisata Gumbrih,2022,14,0
884,Desa Wisata Gumbrih,2023,307,106
885,Desa Wisata Gumbrih,2024,0,28
886,Pantai Pekutatan,2020,686,50
887,Pantai Pekutatan,2021,103,0
888,Pantai Pekutatan,2022,519,7
889,Pantai Pekutatan,2023,1082,11
890,Pantai Pekutatan,2024,926,103
891,Desa Wisata Blimbingsari,2020,1175,43
892,Desa Wisata Blimbingsari,2021,708,0
893,Desa Wisata Blimbingsari,2022,2100,97
894,Desa Wisata Blimbingsari,2023,4112,1223
895,Desa Wisata Blimbingsari,2024,1219,2868
896,Desa Wisata Ekasari,2020,2497,0
897,Desa Wisata Ekasari,2021,5144,16
898,Desa Wisata Ekasari,2022,10978,7
899,Desa Wisata Ekasari,2023,13982,680
900,Desa Wisata Ekasari,2024,12698,524
901,Pantai Yeh Leh,2020,33941,232
902,Pantai Yeh Leh,2021,16585,23
903,Pantai Yeh Leh,2022,13467,96
904,Pantai Yeh Leh,2023,22161,183
905,Pantai Yeh Leh,2024,46543,246
906,Air Terjun Juwuk Manis,2020,2077,359
907,Air Terjun Juwuk Manis,2021,1834,61
908,Air Terjun Juwuk Manis,2022,1163,101
909,Air Terjun Juwuk Manis,2023,828,363
910,Air Terjun Juwuk Manis,2024,810,289
911,Green Cliff,2020,235,0
912,Green Cliff,2021,7,0
913,Green Cliff,2022,94,158
914,Green Cliff,2023,0,385
915,Green Cliff,2024,307,263
916,Puncak JR,2020,114,0
917,Puncak JR,2021,1430,8
918,Puncak JR,2022,944,0
919,Puncak JR,2023,555,0
920,Puncak JR,2024,898,0
921,Sungai Gelar,2020,5690,74
922,Sungai Gelar,2021,8826,218
923,Sungai Gelar,2022,28346,138
924,Sungai Gelar,2023,26850,788
925,Sungai Gelar,2024,55719,1069
926,Air Terjun Batu Belah,2020,114,0
927,Air Terjun Batu Belah,2021,4551,181
928,Air Terjun Batu Belah,2022,0,0
929,Air Terjun Batu Belah,2023,0,0
930,Air Terjun Batu Belah,2024,0,0
931,Bendungan Benel,2020,171,0
932,Bendungan Benel,2021,133,5
933,Bendungan Benel,2022,812,519
934,Bendungan Benel,2023,2645,640
935,Bendungan Benel,2024,2376,592
936,Desa Wisata Yeh Embang Kangin,2020,221,0
937,Desa Wisata Yeh Embang Kangin,2021,0,0
938,Desa Wisata Yeh Embang Kangin,2022,100,0
939,Desa Wisata Yeh Embang Kangin,2023,1607,0
940,Desa Wisata Yeh Embang Kangin,2024,90,0
941,Kolam Renang Delod Berawah,2020,0,0
942,Kolam Renang Delod Berawah,2021,9374,0
943,Kolam Renang Delod Berawah,2022,4732,0
944,Kolam Renang Delod Berawah,2023,5260,0
945,Kolam Renang Delod Berawah,2024,2816,0
946,Makam Tua Buyut Lebai,2020,127,0
947,Makam Tua Buyut Lebai,2021,215,0
948,Makam Tua Buyut Lebai,2022,819,0
949,Makam Tua Buyut Lebai,2023,2456,0
950,Makam Tua Buyut Lebai,2024,8564,0
951,Pura Gede Perancak,2020,607,0
952,Pura Gede Perancak,2021,2164,0
953,Pura Gede Perancak,2022,3387,0
954,Pura Gede Perancak,2023,4264,0
955,Pura Gede Perancak,2024,5288,0
956,Pantai Pangyangan,2020,0,0
957,Pantai Pangyangan,2021,25,0
958,Pantai Pangyangan,2022,896,0
959,Pantai Pangyangan,2023,1324,0
960,Pantai Pangyangan,2024,0,0
961,Rest Area Rambut Siwi ,2020,0,0
962,Rest Area Rambut Siwi ,2021,7996,0
963,Rest Area Rambut Siwi ,2022,6753,0
964,Rest Area Rambut Siwi ,2023,26846,392
965,Rest Area Rambut Siwi ,2024,17029,232
966,Desa Wisata Sangkaragung,2020,0,0
967,Desa Wisata Sangkaragung,2021,0,0
968,Desa Wisata Sangkaragung,2022,1736,0
969,Desa Wisata Sangkaragung,2023,727,0
970,Desa Wisata Sangkaragung,2024,352,0
971,Puncak Mawar ,2020,0,0
972,Puncak Mawar ,2021,218,10
973,Puncak Mawar ,2022,19,0
974,Puncak Mawar ,2023,0,0
975,Puncak Mawar ,2024,0,0
976,Makam Ustad Ali Bafaqih,2020,0,0
977,Makam Ustad Ali Bafaqih,2021,0,0
978,Makam Ustad Ali Bafaqih,2022,1375,0
979,Makam Ustad Ali Bafaqih,2023,3037,0
980,Makam Ustad Ali Bafaqih,2024,10943,0
981,Pantai Candi Kusuma ,2020,0,0
982,Pantai Candi Kusuma ,2021,0,0
983,Pantai Candi Kusuma ,2022,9527,0
984,Pantai Candi Kusuma ,2023,10711,0
985,Pantai Candi Kusuma ,2024,0,0
986,Nirwana Garden ,2020,0,0
987,Nirwana Garden ,2021,0,0
988,Nirwana Garden ,2022,0,0
989,Nirwana Garden ,2023,5464,0
990,Nirwana Garden ,2024,12120,0
991,Mantu Cager,2020,0,0
992,Mantu Cager,2021,0,0
993,Mantu Cager,2022,0,0
994,Mantu Cager,2023,1364,221
995,Mantu Cager,2024,1305,73
996,Tanah Lot,2020,376578,210987
997,Tanah Lot,2021,271020,5838
998,Tanah Lot,2022,880382,460689
999,Tanah Lot,2023,1200976,823953
1000,Tanah Lot,2024,1883557,819405
1001,Ulun Danu Beratan,2020,124766,74240
1002,Ulun Danu Beratan,2021,56860,346
1003,Ulun Danu Beratan,2022,138809,82321
1004,Ulun Danu Beratan,2023,323076,297831
1005,Ulun Danu Beratan,2024,326169,302807
1006,Kebun Raya Bedugul,2020,337211,9875
1007,Kebun Raya Bedugul,2021,0,0
1008,Kebun Raya Bedugul,2022,357516,7359
1009,Kebun Raya Bedugul,2023,450505,25598
1010,Kebun Raya Bedugul,2024,496333,34831
1011,Candi Puputan Margarana,2020,467,95
1012,Candi Puputan Margarana,2021,360730,1143
1013,Candi Puputan Margarana,2022,1731,130
1014,Candi Puputan Margarana,2023,16061,569
1015,Candi Puputan Margarana,2024,18191,3304
1016,Alas Kedaton,2020,2515,6772
1017,Alas Kedaton,2021,0,0
1018,Alas Kedaton,2022,4162,8753
1019,Alas Kedaton,2023,9923,24380
1020,Alas Kedaton,2024,7502,18866
1021,Air Panas Penatahan,2020,9007,258
1022,Air Panas Penatahan,2021,7151,79
1023,Air Panas Penatahan,2022,9354,1412
1024,Air Panas Penatahan,2023,11951,1905
1025,Air Panas Penatahan,2024,16659,1550
1026,Museum Subak,2020,363,192
1027,Museum Subak,2021,137,19
1028,Museum Subak,2022,1143,383
1029,Museum Subak,2023,358,416
1030,Museum Subak,2024,0,0
1031,Jati Luwih,2020,42367,46639
1032,Jati Luwih,2021,51092,1704
1033,Jati Luwih,2022,73242,110419
1034,Jati Luwih,2023,146475,256527
1035,Jati Luwih,2024,130359,301405
1036,Taman Kupu-Kupu,2020,349,384
1037,Taman Kupu-Kupu,2021,199,48
1038,Taman Kupu-Kupu,2022,608,443
1039,Taman Kupu-Kupu,2023,2394,3889
1040,Taman Kupu-Kupu,2024,1772,5844
1041,Pura Batu Karu,2020,0,3154
1042,Pura Batu Karu,2021,0,0
1043,Pura Batu Karu,2022,770,6712
1044,Pura Batu Karu,2023,0,25403
1045,Pura Batu Karu,2024,1482,21101
1046,Hutan Mekori ,2020,0,0
1047,Hutan Mekori ,2021,0,0
1048,Hutan Mekori ,2022,0,0
1049,Hutan Mekori ,2023,0,431
1050,Hutan Mekori ,2024,0,2
